TA00020,TA00021,TA00023,TA00024,TA00025,TA00026,TA00027,TA00028,TA00029,TA00030,TA00054,TA00056,TA00057,TA00061,TA00064,TA00065,TA00066,TA00067,TA00068,TA00069,TA00070,TA00071,TA00072,TA00073,TA00074,TA00076,TA00077
0,0,0,0.02,0,0.18,0.08,0,0,0.02,0,0,0,0,0,0,0.04,0.16,0,0.14,0.2,0.4,0,1.06,0.13,0,0
0,0,0,0.45,0,1.17,5.64,0.19,2.1,0.02,0,1.3,0,2.61,1.47,0.14,0,0,0,0,0,0.4,0,0,3.62,0,8.79999999999999
17.69,0,0,0.82,0,1.43,0,0.25,8.05,0.02,0,1.5,0,5.64,6,3.72,0,0,0.16,0.3,3.2,0.2,0,5.77,0,0.41,2.21
0.06,15.2,0,3.1,0,1.46,18.56,0,8.91999999999999,0.08,10.39,25.03,0.16,6.56999999999999,5.51,38.61,0.06,41.77,12.18,9.21,20.4,0.2,0,0,0.43,32.81,8.07
41.48,58.8,13.98,10.87,15.99,22.4,32.91,0.53,12.04,24.89,18,43.82,21,15.87,14.11,3.99,8.17999999999999,42.49,1.24,0.1,9.2,0.2,0,0.06,18.16,5.05,36.93
7.4,0.4,0.1,3.25,1.27,0.61,0.02,0.07,0.18,9.82,1.92,6.11,3.4,0.78,0.12,0.02,1.06,0.09,0.02,0,0.2,0,0,0,3.85,0.1,0.3
0,0,0,0.06,0.64,0.04,0.07,0,0,0.14,0,0,0,0.04,0,0,0,0.04,0,0.51,0,0.4,0,0,0,0.04,0
0,0,0,0.06,0,0,0.38,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.12,0,0
0,0,0.04,0.08,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.02,0.08,0.2,0,0,0,0,0,0
0.04,0,0,0.08,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.3,0.2,0.2,0,0,0,0,0
0,0,0,0.06,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.2,0,0,4.55,0,0,0
0,2,0,0,0,0,0,0.02,13.22,4.33,0,0,0,2,0.1,0.04,0.36,0,0,0,0,0,0,0,0,0,1.96
0,9,0,0,0,0.1,2.7,0.02,11.49,11.86,10.36,1.32,0.02,6.30999999999999,26.87,65.95,0.14,0.49,0.02,0,0.2,0.2,0,0.04,0,2,16.06
0.19,0.2,0,0,0,0.1,0,0.02,0.1,0.12,0.18,0,0,0.86,0,0.08,0,0,0.04,0.06,0.2,0,0,1.01,0,1.94,10.1
0,0,0,0,0.02,0.04,0,0,0,1.2,0.06,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0
0,0,0,0,0,0,0,0.28,9.90999999999999,0.02,0,0,0,0,0,20.67,0,0,0,0,0,0,0,0,0,0,3.79
0,9.2,0,0,0,0,0,0,1.79,4.81,0,0,0,9.44,0,6.03,0,0,0,0,0,0.8,0,0,0,9.26,5.86999999999999
0,0,0,0,0,0.45,0,0.03,0.06,0.08,1.01,0,0,12.12,17.23,0,0,0,0,0,0.2,0.8,0,0,0,0.57,0.18
0,0,0,0,0,0.12,0,0.02,0,0.06,0.16,0,0,0.22,3.45,7.8,0,0,0,0,0,2.2,0,0.02,0,0,0.14
0.02,0,0,0.16,0,0,0,0.02,0,0.04,0,0,0,0.24,0,0.28,0,0,0,0,0,0.4,0,0,0,0.04,0.22
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.04,0,0,0,0,0,0.4,0,0,0,0,0.22
0,0.4,0,0.02,0.04,0,0,0,0.02,1.4,0,0,0,0,1.65,0.33,0,0,0,0,0,0.2,0,0.02,0,0,0
0,0,0,0,0,0.02,0,0,0,0.04,0.07,0,0,0.04,10.87,0,0,0,0,0,0,0.6,0,0,0,0,0
0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.07,0,0,0,0.02,0,0,0,0,0,53.98,0,0
0,3.2,0,0,0,0,0,0,0,0,3.08,0,0,5.81,11.98,3.21,0,0,0,0,0,0.4,0,0,0,0,0.44
0,8,0,0,83.67,0,1.3,0,0.04,4.58,0.08,0,0.43,0.2,0,36.66,26.13,0,0.1,0.29,0,0,0,2.93,0,0,0
17.36,50.4,0,22.39,34.83,3.94,0,0,0.89,48.7500000000001,28.67,1.67,21.91,44.61,1.34,54.46,11,0.02,1.13,1.24,0,2,0,2.08,12.41,25.88,18.47
